week_start,metric,value,unit
2026-05-25,new_trials,412,count
2026-05-25,trial_to_paid_conversion,18.2,pct
2026-05-25,weekly_active_accounts,5210,count
2026-05-25,ai_assist_adoption,22.1,pct
2026-05-25,net_new_arr,148,usd_k
2026-05-25,churned_arr,34,usd_k
2026-05-25,support_ticket_volume,612,count
2026-05-25,api_uptime,99.97,pct
2026-06-01,new_trials,398,count
2026-06-01,trial_to_paid_conversion,18.6,pct
2026-06-01,weekly_active_accounts,5265,count
2026-06-01,ai_assist_adoption,23.4,pct
2026-06-01,net_new_arr,153,usd_k
2026-06-01,churned_arr,31,usd_k
2026-06-01,support_ticket_volume,598,count
2026-06-01,api_uptime,99.95,pct
2026-06-08,new_trials,431,count
2026-06-08,trial_to_paid_conversion,17.9,pct
2026-06-08,weekly_active_accounts,5301,count
2026-06-08,ai_assist_adoption,24.8,pct
2026-06-08,net_new_arr,141,usd_k
2026-06-08,churned_arr,38,usd_k
2026-06-08,support_ticket_volume,634,count
2026-06-08,api_uptime,99.98,pct
2026-06-15,new_trials,420,count
2026-06-15,trial_to_paid_conversion,18.4,pct
2026-06-15,weekly_active_accounts,5348,count
2026-06-15,ai_assist_adoption,26.0,pct
2026-06-15,net_new_arr,160,usd_k
2026-06-15,churned_arr,33,usd_k
2026-06-15,support_ticket_volume,605,count
2026-06-15,api_uptime,99.96,pct
2026-06-22,new_trials,445,count
2026-06-22,trial_to_paid_conversion,16.2,pct
2026-06-22,weekly_active_accounts,5390,count
2026-06-22,ai_assist_adoption,27.5,pct
2026-06-22,net_new_arr,155,usd_k
2026-06-22,churned_arr,35,usd_k
2026-06-22,support_ticket_volume,621,count
2026-06-22,api_uptime,99.94,pct
2026-06-29,new_trials,439,count
2026-06-29,trial_to_paid_conversion,14.8,pct
2026-06-29,weekly_active_accounts,5422,count
2026-06-29,ai_assist_adoption,29.1,pct
2026-06-29,net_new_arr,149,usd_k
2026-06-29,churned_arr,32,usd_k
2026-06-29,support_ticket_volume,617,count
2026-06-29,api_uptime,99.97,pct
2026-07-06,new_trials,452,count
2026-07-06,trial_to_paid_conversion,14.5,pct
2026-07-06,weekly_active_accounts,5476,count
2026-07-06,ai_assist_adoption,30.6,pct
2026-07-06,net_new_arr,162,usd_k
2026-07-06,churned_arr,36,usd_k
2026-07-06,support_ticket_volume,640,count
2026-07-06,api_uptime,99.95,pct
2026-07-13,new_trials,461,count
2026-07-13,trial_to_paid_conversion,14.1,pct
2026-07-13,weekly_active_accounts,5512,count
2026-07-13,ai_assist_adoption,32.4,pct
2026-07-13,net_new_arr,158,usd_k
2026-07-13,churned_arr,34,usd_k
2026-07-13,support_ticket_volume,842,count
2026-07-13,api_uptime,99.96,pct
